taxid,rank,date,shield_no
946719,DETECTIVE,8/31/2018,3016
896914,POLICE OFFICER,10/15/1990,24974
896914,DETECTIVE,9/25/1997,641
896914,DETECTIVE,9/8/2009,164
969451,POLICE OFFICER,11/2/2020,13307
962911,POLICE OFFICER,1/4/2017,20404
971782,POLICE OFFICER,7/7/2021,16497
924863,POLICE OFFICER,3/1/2000,11677
961593,POLICE OFFICER,7/13/2016,6440
963355,POLICE OFFICER,4/12/2017,12406
939841,POLICE OFFICER,1/9/2006,11482
939841,DETECTIVE,1/25/2019,4120
939841,SERGEANT,5/3/2019,4308
949964,POLICE OFFICER,7/6/2011,30047
934367,POLICE OFFICER,7/1/2004,10855
934367,DETECTIVE,9/5/2014,3111
952382,POLICE OFFICER,7/11/2012,126
952382,SERGEANT,10/7/2019,3129
969452,POLICE OFFICER,11/2/2020,14128
963835,POLICE OFFICER,7/5/2017,16660
972495,POLICE OFFICER,10/12/2021,7009
966923,POLICE OFFICER,1/3/2019,26922
954460,POLICE OFFICER,7/9/2013,11948
970368,POLICE OFFICER,12/29/2020,2224
955705,POLICE OFFICER,1/8/2014,3792
921104,POLICE OFFICER,7/1/1998,28999
921104,POLICE OFFICER,4/21/2010,18245
921104,SERGEANT,10/29/2010,293
952383,POLICE OFFICER,7/11/2012,1035
960128,POLICE OFFICER,1/6/2016,3810
943037,POLICE OFFICER,1/10/2007,16794
943037,SERGEANT,2/24/2017,1218
941312,POLICE OFFICER,7/10/2006,13475
941312,SERGEANT,6/30/2017,952
927886,POLICE OFFICER,7/2/2001,24020
964357,POLICE OFFICER,10/18/2017,1263
954461,POLICE OFFICER,7/9/2013,107
954461,DETECTIVE,6/10/2021,2042
941313,POLICE OFFICER,7/10/2006,8917
948140,POLICE OFFICER,1/14/2009,7926
948140,SERGEANT,4/28/2017,809
948140,SGT DET SQUAD,10/18/2021,
964358,POLICE OFFICER,10/18/2017,12147
953616,POLICE OFFICER,1/9/2013,19293
953616,POLICE OFFICER,3/24/2017,19290
973200,POLICE OFFICER,12/29/2021,21909
966924,POLICE OFFICER,1/3/2019,30227
934368,POLICE OFFICER,7/1/2004,3348
960129,POLICE OFFICER,1/6/2016,14450
960129,DETECTIVE,12/21/2021,4755
929589,POLICE OFFICER,7/1/2002,12736
969453,POLICE OFFICER,11/2/2020,23041
923946,POLICE OFFICER,7/7/1999,19508
923946,DETECTIVE,2/26/2003,7825
933593,POLICE OFFICER,1/20/2004,15655
933593,SERGEANT,6/24/2011,1076
933593,LIEUTENANT,10/25/2013,
933593,SERGEANT,3/24/2016,1077
955706,POLICE OFFICER,1/8/2014,15183
955706,DETECTIVE,6/10/2021,2056
958214,POLICE OFFICER,7/8/2015,20396
968916,POLICE OFFICER,1/6/2020,14038
961485,POLICE OFFICER,4/6/2016,1118
936668,POLICE OFFICER,1/10/2005,22233
936668,DETECTIVE,4/29/2011,6327
936668,SERGEANT,8/30/2012,5541
936668,LIEUTENANT,6/28/2019,
939842,POLICE OFFICER,1/9/2006,4449
939842,DETECTIVE,6/9/2017,1542
941315,POLICE OFFICER,7/10/2006,13496
941315,DETECTIVE,8/30/2012,6473
948590,POLICE OFFICER,7/6/2010,15260
959437,POLICE OFFICER,10/7/2015,21565
965919,POLICE OFFICER,7/2/2018,8053
963356,POLICE OFFICER,4/12/2017,12777
964862,POLICE OFFICER,1/10/2018,28180
941328,POLICE OFFICER,7/10/2006,4759
941328,SERGEANT,8/30/2012,1006
959438,POLICE OFFICER,10/7/2015,16599
959438,POLICE OFFICER,5/30/2019,1210
956370,POLICE OFFICER,7/9/2014,7517
966925,POLICE OFFICER,1/3/2019,29733
967406,POLICE OFFICER,4/15/2019,2925
898880,POLICE OFFICER,4/30/1991,10534
898880,DETECTIVE,7/22/1998,3933
929591,POLICE OFFICER,7/1/2002,30258
929591,DETECTIVE,1/28/2011,5649
959439,POLICE OFFICER,10/7/2015,20053
921895,POLICE OFFICER,8/31/1998,7905
921895,DETECTIVE,8/22/2017,153
932238,POLICE OFFICER,7/1/2003,74
932238,SERGEANT,2/9/2022,1055
919974,POLICE OFFICER,12/8/1997,29574
919974,SERGEANT,7/29/2005,1226
919974,LIEUTENANT,2/24/2012,
919974,LT SPECIAL ASSIGN,6/24/2022,
937942,POLICE OFFICER,7/11/2005,7742
937942,DETECTIVE,5/2/2016,3742
937943,POLICE OFFICER,7/11/2005,2695
937943,DETECTIVE,9/5/2014,6756
969454,POLICE OFFICER,11/2/2020,10438
964359,POLICE OFFICER,10/18/2017,15534
937946,POLICE OFFICER,7/11/2005,15238
964863,POLICE OFFICER,1/10/2018,8938
949966,POLICE OFFICER,7/6/2011,3585
959440,POLICE OFFICER,10/7/2015,21441
942927,POLICE OFFICER,1/10/2007,1483
942927,DETECTIVE,1/27/2017,4469
926476,POLICE OFFICER,9/29/2000,11315
953617,POLICE OFFICER,1/9/2013,10378
953617,SERGEANT,10/18/2021,2754
929496,POLICE OFFICER,7/1/2002,13136
905654,POLICE OFFICER,2/28/1994,9452
945457,POLICE OFFICER,1/7/2008,24480
945457,DETECTIVE,12/22/2017,116
926477,POLICE OFFICER,9/29/2000,5762
926477,DETECTIVE,9/29/2008,3807
945458,POLICE OFFICER,1/7/2008,4404
945458,DETECTIVE,4/25/2014,6427
945458,SERGEANT,6/25/2014,1350
945458,LIEUTENANT,2/9/2022,
931514,POLICE OFFICER,7/1/2002,206
931514,SERGEANT,9/29/2008,2817
936966,POLICE OFFICER,1/10/2005,14617
936966,DETECTIVE,8/31/2018,585
924841,POLICE OFFICER,3/1/2000,1634
924841,SERGEANT,7/31/2006,19
971784,POLICE OFFICER,7/7/2021,31247
962930,POLICE OFFICER,1/4/2017,21112
946662,POLICE OFFICER,7/8/2008,2404
946662,DETECTIVE,5/2/2016,3761
946662,SERGEANT,1/30/2018,3835
961486,POLICE OFFICER,4/6/2016,1364
919976,POLICE OFFICER,12/8/1997,6099
919976,SERGEANT,2/28/2003,3228
919976,LIEUTENANT,3/31/2006,
919976,CAPTAIN,9/29/2008,
919976,DEPUTY INSPECTOR,12/18/2015,
948591,POLICE OFFICER,7/6/2010,105
958215,POLICE OFFICER,7/8/2015,19600
958216,POLICE OFFICER,7/8/2015,18821
960130,POLICE OFFICER,1/6/2016,11843
946436,POLICE OFFICER,1/7/2008,25467
934370,POLICE OFFICER,7/1/2004,10717
934370,SERGEANT,9/28/2015,1246
965920,POLICE OFFICER,7/2/2018,12522
968918,POLICE OFFICER,1/6/2020,24176
959441,POLICE OFFICER,10/7/2015,21566
943995,POLICE OFFICER,1/10/2007,27729
943995,SERGEANT,2/9/2022,1056
931452,POLICE OFFICER,7/1/2002,19603
958218,POLICE OFFICER,7/8/2015,20659
961594,POLICE OFFICER,7/13/2016,3567
936098,POLICE OFFICER,1/10/2005,27349
936098,SERGEANT,3/30/2012,343
929595,POLICE OFFICER,7/1/2002,25335
929595,DETECTIVE,7/27/2018,1619
929653,POLICE OFFICER,7/1/2002,23855
929653,SERGEANT,6/25/2014,2263
954463,POLICE OFFICER,7/9/2013,13919
962199,POLICE OFFICER,10/11/2016,20033
966418,POLICE OFFICER,10/24/2018,18910
949968,POLICE OFFICER,7/6/2011,9722
962200,POLICE OFFICER,10/11/2016,20407
949969,POLICE OFFICER,7/6/2011,17856
952384,POLICE OFFICER,7/11/2012,12229
952384,DETECTIVE,12/21/2021,4814
952385,POLICE OFFICER,7/11/2012,142
952385,POLICE OFFICER,9/10/2012,4290
970369,POLICE OFFICER,12/29/2020,1103
969455,POLICE OFFICER,11/2/2020,10881
961595,POLICE OFFICER,7/13/2016,6527
953619,POLICE OFFICER,1/9/2013,6578
941316,POLICE OFFICER,7/10/2006,18853
947703,POLICE OFFICER,7/8/2008,9475
947703,DETECTIVE,6/28/2019,4418
947703,SERGEANT,3/18/2021,154
941317,POLICE OFFICER,7/10/2006,8923
941317,SERGEANT,6/29/2012,3869
955072,POLICE OFFICER,7/9/2013,8492
969456,POLICE OFFICER,11/2/2020,10013
933594,POLICE OFFICER,1/20/2004,7661
933594,DETECTIVE,6/10/2021,2083
948592,POLICE OFFICER,7/6/2010,4668
957315,POLICE OFFICER,1/7/2015,9595
957315,DETECTIVE,6/10/2021,2094
949971,POLICE OFFICER,7/6/2011,2844
949971,DETECTIVE,7/27/2018,1621
934818,POLICE OFFICER,7/1/2004,11808
934818,SERGEANT,9/29/2014,4544
889483,POLICE OFFICER,1/1/1990,24904
889483,DETECTIVE,3/1/2013,100
952386,POLICE OFFICER,7/11/2012,25108
952386,DETECTIVE,11/20/2018,1084
958220,POLICE OFFICER,7/8/2015,20663
970965,POLICE OFFICER,2/24/2021,24573
969457,POLICE OFFICER,11/2/2020,16706
968919,POLICE OFFICER,1/6/2020,25196
947964,POLICE OFFICER,1/14/2009,8054
941318,POLICE OFFICER,7/10/2006,3082
941318,DETECTIVE,3/27/2015,5183
954464,POLICE OFFICER,7/9/2013,601
944306,POLICE OFFICER,7/9/2007,4835
961596,POLICE OFFICER,7/13/2016,13992
944936,POLICE OFFICER,7/9/2007,21364
944936,DETECTIVE,11/3/2014,769
934371,POLICE OFFICER,7/1/2004,319
934371,SERGEANT,3/28/2013,325
934371,LIEUTENANT,11/20/2018,
937949,POLICE OFFICER,7/11/2005,25456
937949,DETECTIVE,4/28/2017,3000
961597,POLICE OFFICER,7/13/2016,471
937950,POLICE OFFICER,7/11/2005,5789
937950,DETECTIVE,12/23/2013,1522
966926,POLICE OFFICER,1/3/2019,25454
954465,POLICE OFFICER,7/9/2013,10010
954465,SERGEANT,10/30/2019,1070
971786,POLICE OFFICER,7/7/2021,21177
962912,POLICE OFFICER,1/4/2017,23562
941319,POLICE OFFICER,7/10/2006,13811
941319,SERGEANT,6/25/2014,2496
942930,POLICE OFFICER,1/10/2007,17601
942930,SERGEANT,10/30/2019,1082
951481,POLICE OFFICER,1/9/2012,5502
934372,POLICE OFFICER,7/1/2004,7603
934372,DETECTIVE,8/31/2018,7753
967740,POLICE OFFICER,7/1/2019,15378
949972,POLICE OFFICER,7/6/2011,11042
949972,SERGEANT,6/24/2022,4330
971302,POLICE OFFICER,4/28/2021,16666
963837,POLICE OFFICER,7/5/2017,18025
934373,POLICE OFFICER,7/1/2004,21660
934373,SERGEANT,10/25/2013,450
965646,POLICE OFFICER,4/25/2018,5807
934374,POLICE OFFICER,7/1/2004,382
934374,DETECTIVE,8/22/2017,154
945459,POLICE OFFICER,1/7/2008,24483
955129,POLICE OFFICER,7/9/2013,3427
955129,DETECTIVE,7/30/2021,5090
926532,POLICE OFFICER,9/29/2000,15897
926532,SERGEANT,8/2/2011,102
969458,POLICE OFFICER,11/2/2020,16538
972498,POLICE OFFICER,10/12/2021,7390
962913,POLICE OFFICER,1/4/2017,18509
965647,POLICE OFFICER,4/25/2018,1768
970966,POLICE OFFICER,2/24/2021,22769
967407,POLICE OFFICER,4/15/2019,1209
951482,POLICE OFFICER,1/9/2012,4231
941320,POLICE OFFICER,7/10/2006,10057
948593,POLICE OFFICER,7/6/2010,919
948593,DETECTIVE,6/10/2021,2107
968211,POLICE OFFICER,10/7/2019,6554
953620,POLICE OFFICER,1/9/2013,30507
961599,POLICE OFFICER,7/13/2016,11340
957317,POLICE OFFICER,1/7/2015,8589
966419,POLICE OFFICER,10/24/2018,2322
954337,POLICE OFFICER,1/9/2013,1634
939845,POLICE OFFICER,1/9/2006,27077
939845,DETECTIVE,9/29/2008,2771
939845,SERGEANT,3/30/2012,1031
957318,POLICE OFFICER,1/7/2015,9156
966927,POLICE OFFICER,1/3/2019,28192
971787,POLICE OFFICER,7/7/2021,28349
959444,POLICE OFFICER,10/7/2015,15565
956371,POLICE OFFICER,7/9/2014,12961
964361,POLICE OFFICER,10/18/2017,9979
970371,POLICE OFFICER,12/29/2020,9224
965921,POLICE OFFICER,7/2/2018,10574
967741,POLICE OFFICER,7/1/2019,21385
939846,POLICE OFFICER,1/9/2006,10509
939846,DETECTIVE,9/29/2008,3270
939846,SERGEANT,6/30/2017,993
939846,LIEUTENANT,10/18/2021,
915218,POLICE OFFICER,6/30/1995,20103
915218,SERGEANT,9/29/2000,2497
915218,LIEUTENANT,11/25/2003,
915218,LT DET COMMANDER,6/28/2007,
973201,POLICE OFFICER,12/29/2021,27939
941321,POLICE OFFICER,7/10/2006,3193
941321,SERGEANT,8/30/2012,1017
941321,LIEUTENANT,11/20/2018,
936104,POLICE OFFICER,1/10/2005,13263
936104,SERGEANT,10/28/2011,3429
936104,LIEUTENANT,11/24/2015,
963839,POLICE OFFICER,7/5/2017,25951
960131,POLICE OFFICER,1/6/2016,14014
964362,POLICE OFFICER,10/18/2017,2967
962202,POLICE OFFICER,10/11/2016,24472
942360,POLICE OFFICER,7/10/2006,4580
942360,SERGEANT,11/26/2013,1822
972499,POLICE OFFICER,10/12/2021,633
939847,POLICE OFFICER,1/9/2006,27859
939847,SERGEANT,2/25/2011,2404
939847,LIEUTENANT,4/26/2013,
960132,POLICE OFFICER,1/6/2016,2456
963357,POLICE OFFICER,4/12/2017,8487
971303,POLICE OFFICER,4/28/2021,1517
960133,POLICE OFFICER,1/6/2016,17983
969460,POLICE OFFICER,11/2/2020,24983
958222,POLICE OFFICER,7/8/2015,5760
968920,POLICE OFFICER,1/27/2020,23349
967742,POLICE OFFICER,7/1/2019,13662
969461,POLICE OFFICER,11/2/2020,11123
970372,POLICE OFFICER,12/29/2020,9848
958223,POLICE OFFICER,7/8/2015,18948
973202,POLICE OFFICER,12/29/2021,28756
968213,POLICE OFFICER,10/7/2019,7372
971304,POLICE OFFICER,4/28/2021,17350
962914,POLICE OFFICER,1/4/2017,24077
972331,POLICE OFFICER,7/9/2021,26428
952389,POLICE OFFICER,7/11/2012,12529
966420,POLICE OFFICER,10/24/2018,17814
958224,POLICE OFFICER,7/8/2015,6285
948457,POLICE OFFICER,1/11/2010,5583
948457,SERGEANT,6/30/2017,1003
965648,POLICE OFFICER,4/25/2018,2613
939848,POLICE OFFICER,1/9/2006,15
939848,SERGEANT,3/30/2012,12
939848,LIEUTENANT,6/28/2019,
967408,POLICE OFFICER,4/15/2019,4585
964864,POLICE OFFICER,1/10/2018,15204
969462,POLICE OFFICER,11/2/2020,10497
959446,POLICE OFFICER,10/7/2015,11305
969463,POLICE OFFICER,11/2/2020,12009
933596,POLICE OFFICER,1/20/2004,3767
933596,SERGEANT,2/27/2009,387
933596,LIEUTENANT,6/29/2012,
933596,CAPTAIN,3/5/2019,
947965,POLICE OFFICER,1/14/2009,7194
973203,POLICE OFFICER,12/29/2021,29165
971788,POLICE OFFICER,7/7/2021,11924
972500,POLICE OFFICER,10/12/2021,1101
953622,POLICE OFFICER,1/9/2013,12207
953622,SERGEANT,7/21/2022,151
961600,POLICE OFFICER,7/13/2016,18594
964865,POLICE OFFICER,1/10/2018,26865
